"","probe_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"1","ILMN_1751607",2.64122059685694,9.55756141447785,7.46180841973514,5.35868486694202e-13,6.05467085746045e-10,19.0062096378892,"FOSB"
"2","ILMN_1795325",2.35383277232925,11.8521180535205,7.95117344950152,1.90418566590688e-14,5.37875325048715e-11,22.2096492716863,"ACTG2"
"3","ILMN_1660086",2.27201418741747,12.4150668873416,7.66608401358176,1.35525838551295e-13,2.16901717726343e-10,20.3252172376659,"MYH11"
"4","ILMN_1669523",2.26378884258366,10.7139195920951,7.67182988331636,1.30335260314916e-13,2.16901717726343e-10,20.36269961069,"FOS"
"5","ILMN_2368834",2.25919901018221,11.9561112137568,7.66416643631629,1.37303065061827e-13,2.16901717726343e-10,20.3127127993144,"MYH11"
"6","ILMN_1695299",2.25411259755561,9.41190650183201,8.79125145634768,4.41761082228294e-17,4.15947509656754e-13,28.042758340253,"PDLIM3"
"7","ILMN_1698995",2.11697525564457,9.11044007672766,6.98927352379986,1.16111442682182e-11,5.37672118269443e-09,16.0587292101623,"DES"
"8","ILMN_1810054",1.96220481458523,9.90851552108952,7.37654148925982,9.43671299262695e-13,9.19168385871495e-10,18.4635295909572,"CNN1"
"9","ILMN_1667692",1.85875555512491,9.98428665347219,6.81719833659462,3.42895398864172e-11,1.11786455619129e-08,15.0224793757334,"PTGIS"
"10","ILMN_1682326",1.83838982046921,8.45341286402006,6.41151831464373,4.06055804437173e-10,6.62997590054151e-08,12.6607206413404,"PCP4"
"11","ILMN_2188264",1.82237658401724,10.3318822234453,7.65539170329629,1.45733252610919e-13,2.16901717726343e-10,20.2555225786385,"CCN1"
"12","ILMN_1687848",1.81403691635261,9.78078552206578,5.98373520707217,4.84305783787528e-09,4.3019451178133e-07,10.2980931831953,"C7"
"13","ILMN_1762899",1.74631875359286,11.5906990754858,8.0299226397295,1.09759026672674e-14,3.87545403302878e-11,22.7389379023647,"EGR1"
"14","ILMN_1656011",1.60474448148735,8.73660173007278,7.28110353010969,1.76790267213737e-12,1.31415649420696e-09,17.8617066819916,"RGS1"
"15","ILMN_1722898",1.59844296232867,9.88181164424795,4.30817286560898,2.07350117736836e-05,0.000287108763515313,2.40559219558632,"SFRP2"
"16","ILMN_1686116",1.57042071325631,11.2695600349073,7.14102367128626,4.39444417845768e-12,2.69847531975857e-09,16.9891975347082,"THBS1"
"17","ILMN_1703178",1.54948236092675,7.75075232386573,8.52231647234614,3.22036166702304e-16,2.27413890021e-12,26.1314610727708,"SCG2"
"18","ILMN_1679262",1.53020685994529,12.1912569831731,7.34558718982315,1.1575279834331e-12,1.05473203058177e-09,18.2676848277131,"DPYSL3"
"19","ILMN_1685433",1.52974498484971,10.2313143861216,5.66292196711494,2.84394043395191e-08,1.76944461316827e-06,8.61550856463853,"COL8A1"
"20","ILMN_1652065",1.50768239308524,9.10056711874379,6.51255253671561,2.21797367642397e-10,4.34453862259439e-08,13.2380690189543,"KCNMB1"
"21","ILMN_1720829",1.48332493291119,11.91879970325,7.65522697832758,1.45896294714501e-13,2.16901717726343e-10,20.2544494289501,"ZFP36"
"22","ILMN_1783276",1.45978605126591,9.28440271313116,7.90388272489846,2.64609004711695e-14,6.79491868735568e-11,21.893604068672,"NEXN"
"23","ILMN_1691476",1.44893937361657,10.80048041616,6.91543300179539,1.85250307558463e-11,7.37009216563929e-09,15.6115836525856,"MYLK"
"24","ILMN_2197365",1.44003844422671,9.91565480195888,6.95313522410013,1.46005632252241e-11,6.15555387198367e-09,15.8394294476991,"RGS2"
"25","ILMN_1676256",1.42577907561065,9.32710204559934,7.20541674015716,2.89616736337943e-12,1.99531803691168e-09,17.388671153506,"TPSAB1"
"26","ILMN_1677636",1.40845198945397,9.37134358079429,5.00210209866632,8.50302496899099e-07,2.41149544476997e-05,5.40083404322836,"COMP"
"27","ILMN_1744381",1.40410946514625,8.88637691673398,5.82417461270588,1.17947060604403e-08,9.02886347125362e-07,9.45150640957616,"SERPINE1"
"28","ILMN_2168166",1.3999400415536,9.64611410211749,7.30307297849805,1.53083330487197e-12,1.22811460021735e-09,17.9997176920502,"ASPN"
"29","ILMN_1677402",1.37844568292701,11.9534591015372,6.46050206266084,3.03145355028346e-10,5.38550115942496e-08,12.9397236424706,"C11orf96"
"30","ILMN_1765310",1.37045898593233,9.3094885294968,5.92257177134388,6.82770517169457e-09,5.75708023835393e-07,9.97131706491124,"TCEAL2"
"31","ILMN_1743199",1.33416757561007,8.35687826410121,7.0982054990642,5.78960001574689e-12,3.33752717642454e-09,16.7250927434666,"EGR2"
"32","ILMN_1712075",1.31927951880381,9.37994562184987,5.05637255762809,6.51603084837409e-07,1.96679816806699e-05,5.65177054701909,"SYNM"
"33","ILMN_1728570",1.31909405607657,8.65489062954323,6.35948588554722,5.52846799084232e-10,8.3958406095335e-08,12.3662360318646,"TCF21"
"34","ILMN_1715401",-1.30564354912072,9.97863013908687,-4.66087013147672,4.29441485272349e-06,8.54857902359974e-05,3.87802917258164,"MT1G"
"35","ILMN_2389069",-1.30139990541461,9.11133511775123,-3.77203991262287,0.000186347030071908,0.00160675963322381,0.370575203274144,"PAEP"
"36","ILMN_1748004",-1.28419693519582,9.01154684639253,-3.77757016155978,0.000182398486552389,0.00157849572599428,0.390291854137257,"PAEP"
"37","ILMN_1676088",1.27558101954443,10.382261992208,6.58674627717682,1.4161030226244e-10,3.0249378240668e-08,13.6666564131541,"MSRB3"
"38","ILMN_2332553",1.24833022723148,10.1500377533861,6.60030455491775,1.30407754032434e-10,2.97066760335014e-08,13.7453969358624,"MSRB3"
"39","ILMN_1781285",1.2358287522671,12.4488104540798,6.08158605810578,2.77968437580598e-09,2.83048281592529e-07,10.826673427755,"DUSP1"
"40","ILMN_1684554",1.23345673461466,10.7562848161862,7.2275578423371,2.50774997677654e-12,1.77091033985017e-09,17.5266609442966,"COL16A1"
"41","ILMN_1723522",1.22813033277486,9.0380123434165,5.70609537082787,2.25122701350762e-08,1.47541553249535e-06,8.8373928337179,"APOLD1"
"42","ILMN_1680424",1.22478298591361,8.46472214913643,6.00380103116644,4.32438005008699e-09,3.99185500898063e-07,10.4059067882536,"CTSG"
"43","ILMN_1740586",1.21922351700967,8.65718411588774,5.02294664289899,7.67886421009797e-07,2.21557586662551e-05,5.49693400516125,"PLA2G2A"
"44","ILMN_1717990",1.21149071230782,9.25846744790788,6.16275808416358,1.74441544344491e-09,1.97889570405575e-07,11.2705294518174,"CALD1"
"45","ILMN_1781149",1.2094347985097,9.24248444279564,4.65695368146444,4.37259805227324e-06,8.68528226119254e-05,3.86110753338907,"INMT"
"46","ILMN_1716246",1.1919040759849,9.58165360516251,6.93412614864048,1.6464555290594e-11,6.74020714917984e-09,15.7244311513748,"FRZB"
"47","ILMN_1675062",1.18515012664377,10.632582181655,6.74881531609522,5.24328315151147e-11,1.54140546529428e-08,14.6163084875382,"MYL9"
"48","ILMN_1766551",1.18370462595846,8.41777194006754,7.57138668045747,2.57177387093558e-13,3.61973685302853e-10,19.7104652593341,"CPA3"
"49","ILMN_1699829",1.17210455277193,12.796445918839,8.42292132374378,6.64103318067229e-16,3.12648773757417e-12,25.4353312906803,"CCN2"
"50","ILMN_1782305",1.16852908940287,8.8570240848426,5.76779997906174,1.60800304731144e-08,1.158012301381e-06,9.15698748296107,"NR4A2"
"51","ILMN_1752965",1.16499520665903,8.0615439824438,5.36624221915554,1.36355211210334e-07,5.85353442410078e-06,7.12971013183075,"GREM1"
"52","ILMN_1738578",1.16152157081111,10.3173582940989,6.30786958024432,7.49407103843719e-10,1.0637438423253e-07,12.0760327289927,"FILIP1L"
"53","ILMN_1726204",1.12833353058617,8.45969371041447,5.70297984140884,2.28962571987168e-08,1.49710781734295e-06,8.82133320951634,"SCRG1"
"54","ILMN_1667966",1.12605201139705,10.1822328989409,5.7363310507125,1.90971943902636e-08,1.30931662607227e-06,8.99363377229552,"NIBAN1"
"55","ILMN_1790052",1.12383088112122,8.77852018235005,6.16177954013417,1.75429130448597e-09,1.98213865911261e-07,11.2651498269007,"MMP23A"
"56","ILMN_2115125",1.1224366423092,12.6308884699058,8.46412559601643,4.92299747597046e-16,2.78119819407475e-12,25.7232303208056,"CCN2"
"57","ILMN_1703955",1.12177402776397,10.8092437827737,6.69496208932482,7.30911770994388e-11,1.91167266622949e-08,14.2987188904498,"FBXO32"
"58","ILMN_1715748",1.11853898562613,10.937077436746,5.89984362193947,7.75161600174572e-09,6.38367047234144e-07,9.85060209381901,"FLNC"
"59","ILMN_1771482",-1.11736892976812,8.98747565021379,-3.73762650551235,0.000212789029069442,0.00179315384967916,0.248487112998326,"KIAA1324"
"60","ILMN_1810725",1.11655400117987,10.1450902766787,5.74075028500363,1.86423799113474e-08,1.28436903745324e-06,9.01652829496576,"NIBAN1"
"61","ILMN_1732398",-1.1163005133561,11.4369205949392,-3.24361936311262,0.00127919123231915,0.0074356146661695,-1.38828060033529,"SCGB2A1"
"62","ILMN_1779855",1.11557366692213,8.19897486214827,5.89034543804633,8.17290564540967e-09,6.69159610915614e-07,9.8002697782751,"HSD17B6"
"63","ILMN_2124585",1.10275515464389,7.87180031999498,5.52532154316605,5.93342582010851e-08,3.20562183910695e-06,7.9178946651203,"GREM1"
